Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Krzysztof Piątek,POL,Delantero,Salernitana,27,1995.0,21.666666666666668,15.333333333333334,1352.0,3.6666666666666665,1.6666666666666667,5.333333333333333,2.0,0.0,6.4,1.5666666666666669,"5,50 mill. €",1742
Kudus Mohammed,GHA,Centrocampista,West Ham,23,2000.0,10.0,4.0,459.0,2.0,1.0,3.0,2.0,0.0,0.8,0.8,"40,00 mill. €",1743
Kurt Zouma,FRA,Defensa,West Ham,29,1994.0,22.6,21.4,1904.0,1.8,0.0,1.8,2.2,0.0,1.44,0.1,"22,00 mill. €",1744
Kyle Bartley,ENG,Defensa,West Brom,29,1991.0,30.0,28.0,2584.0,3.0,1.0,4.0,4.0,0.0,2.5,1.4,600 mil €,1745
Kyle Edwards,ENG,Centrocampista,West Brom,22,1998.0,5.0,1.0,118.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,350 mil €,1746
Kyle Walker,ENG,Defensa,Manchester City,33,1990.0,22.6,21.0,1844.0,0.4,1.6,2.0,2.2,0.0,0.4800000000000001,0.98,"13,00 mill. €",1747
Kyle Walker-Peters,ENG,Defensa,Southampton,25,1997.0,21.2,19.8,1774.4,0.4,0.8,1.2,2.8,0.0,0.64,1.1999999999999995,"22,00 mill. €",1748
Kévin Gameiro,FRA,Delantero,Atlético Madrid,33,1987.0,28.5,13.5,1348.75,5.75,1.5,7.25,0.25,0.0,6.0,2.25,"1,20 mill. €",1749
Kévin Malcuit,MAR,Defensa,Napoli,30,1991.0,4.75,1.75,196.0,0.0,0.25,0.25,0.75,0.0,0.05,0.15,400 mil €,1750
Kévin Rodrigues,POR,Defensa,Real Sociedad,27,1994.0,14.833333333333334,10.166666666666666,931.0,0.5,0.8333333333333334,1.3333333333333333,1.5,0.1666666666666666,0.45,0.7666666666666666,"2,20 mill. €",1751
Kévin Soni,CMR,Centrocampista,Girona,21,1998.0,2.6666666666666665,0.3333333333333333,35.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0666666666666666,0.0333333333333333,600 mil €,1752
Ladislav Krejčí,CZE,Defensa,Bologna,27,1992.0,14.0,11.0,1051.0,1.0,0.0,1.0,1.0,0.0,0.5,1.4,200 mil €,1753
Lago Junior,CIV,Centrocampista,Mallorca,31,1990.0,15.333333333333334,8.333333333333334,805.6666666666666,1.3333333333333333,0.0,1.3333333333333333,1.0,0.0,2.2666666666666666,0.4333333333333333,900 mil €,1754
Lameck Banda,ZAM,Delantero,Lecce,22,2001.0,22.5,13.5,1138.5,1.5,2.0,3.5,4.5,0.0,2.4,1.15,"4,00 mill. €",1755
Lamine Yamal,ESP,Delantero,Barcelona,16,2007.0,7.5,3.5,363.0,0.5,0.5,1.0,0.5,0.0,1.25,1.0,"50,00 mill. €",1756
Landry Dimata,BEL,Delantero,Espanyol,23,1997.0,17.0,4.0,541.0,0.0,0.0,0.0,0.0,0.0,1.6,0.3,"3,30 mill. €",1757
Largie Ramazani,BEL,Delantero,Almería,22,2001.0,23.5,10.5,1105.0,2.5,2.5,5.0,5.0,0.0,3.3,2.9,"6,00 mill. €",1758
Larra,ESP,Delantero,Athletic Club,21,1997.0,10.0,2.0,250.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,"2,00 mill. €",1759
Lassana Coulibaly,MLI,Centrocampista,Salernitana,27,1996.0,25.0,23.666666666666668,1969.0,1.0,1.3333333333333333,2.333333333333333,5.666666666666667,0.0,0.6333333333333333,0.7666666666666666,"5,00 mill. €",1760
