,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
426,Kike Pérez,ESP,Centrocampista,Valladolid,25,1997,36,28,2307,1,2,3,9,0,2.3,2.2
427,Lucas Pérez,ESP,Delantero,Cádiz,33,1988,14,5,628,3,0,3,3,0,2.0,0.6
428,Luis Pérez,ESP,Defensa,Valladolid,27,1995,18,15,1213,0,1,1,2,0,0.1,0.9
429,Germán Pezzella,ARG,Defensa,Betis,31,1991,31,29,2511,0,0,0,4,3,0.9,0.2
430,Ronaël Pierre-Gabriel,FRA,Defensa,Espanyol,24,1998,8,2,236,1,0,1,2,1,0.2,0.3
431,Gerard Piqué,ESP,Defensa,Barcelona,35,1987,6,4,384,0,0,0,2,1,0.4,0.0
432,Óscar Plano,ESP,Delantero,Valladolid,31,1991,33,22,2038,1,1,2,3,0,2.8,1.6
433,Gonzalo Plata,ECU,Delantero,Valladolid,21,2000,34,26,2302,1,5,6,1,0,3.7,3.1
434,Ezequiel Ponce,ARG,Delantero,Elche,25,1997,33,8,1122,4,0,4,2,1,3.6,0.7
435,Francisco Portillo,ESP,Centrocampista,Almería,32,1990,27,4,722,2,1,3,1,0,0.7,1.0
436,Portu,ESP,Centrocampista,Getafe,30,1992,34,17,1770,0,3,3,7,1,1.7,1.9
437,José Pozo,ESP,Centrocampista,Rayo Vallecano,26,1996,8,1,88,0,0,0,0,0,0.0,0.1
438,Manuel Pozo,ESP,Delantero,Valladolid,20,2001,1,0,19,0,0,0,0,0,0.1,0.0
439,Alejandro Pozo Pozo,ESP,Defensa,Almería,23,1999,30,20,1880,0,3,3,2,0,0.5,3.6
440,Abdón Prats,ESP,Delantero,Mallorca,29,1992,26,2,416,1,1,2,1,0,0.7,1.4
